2022-12-05 20:48:29,740 INFO    MainThread:2108 [wandb_setup.py:_flush():68] Configure stats pid to 2108
2022-12-05 20:48:29,741 INFO    MainThread:2108 [wandb_setup.py:_flush():68] Loading settings from C:\Users\cupca\.config\wandb\settings
2022-12-05 20:48:29,741 INFO    MainThread:2108 [wandb_setup.py:_flush():68] Loading settings from c:\Users\cupca\Desktop\Semester VII\NF_Research\density_estimation_using_nf\glow_jax\wandb\settings
2022-12-05 20:48:29,741 INFO    MainThread:2108 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-05 20:48:29,741 INFO    MainThread:2108 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-12-05 20:48:29,741 INFO    MainThread:2108 [wandb_init.py:_log_setup():476] Logging user logs to c:\Users\cupca\Desktop\Semester VII\NF_Research\density_estimation_using_nf\glow_jax\wandb\run-20221205_204829-3xuxrzfe\logs\debug.log
2022-12-05 20:48:29,741 INFO    MainThread:2108 [wandb_init.py:_log_setup():477] Logging internal logs to c:\Users\cupca\Desktop\Semester VII\NF_Research\density_estimation_using_nf\glow_jax\wandb\run-20221205_204829-3xuxrzfe\logs\debug-internal.log
2022-12-05 20:48:29,742 INFO    MainThread:2108 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000166E4C60100>
2022-12-05 20:48:29,742 INFO    MainThread:2108 [wandb_init.py:init():516] calling init triggers
2022-12-05 20:48:29,742 INFO    MainThread:2108 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-12-05 20:48:29,742 INFO    MainThread:2108 [wandb_init.py:init():569] starting backend
2022-12-05 20:48:29,742 INFO    MainThread:2108 [wandb_init.py:init():573] setting up manager
2022-12-05 20:48:29,749 INFO    MainThread:2108 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn, using: spawn
2022-12-05 20:48:29,754 INFO    MainThread:2108 [wandb_init.py:init():580] backend started and connected
2022-12-05 20:48:29,758 INFO    MainThread:2108 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-12-05 20:48:29,759 INFO    MainThread:2108 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-12-05 20:48:29,759 INFO    MainThread:2108 [wandb_init.py:init():658] updated telemetry
2022-12-05 20:48:29,761 INFO    MainThread:2108 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-05 20:48:30,450 INFO    MainThread:2108 [wandb_run.py:_on_init():2000] communicating current version
2022-12-05 20:48:30,692 INFO    MainThread:2108 [wandb_run.py:_on_init():2004] got version response 
2022-12-05 20:48:30,692 INFO    MainThread:2108 [wandb_init.py:init():728] starting run threads in backend
2022-12-05 20:48:35,713 INFO    MainThread:2108 [wandb_run.py:_console_start():1980] atexit reg
2022-12-05 20:48:35,713 INFO    MainThread:2108 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-12-05 20:48:35,713 INFO    MainThread:2108 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-12-05 20:48:35,714 INFO    MainThread:2108 [wandb_run.py:_redirect():1925] Redirects installed.
2022-12-05 20:48:35,714 INFO    MainThread:2108 [wandb_init.py:init():765] run started, returning control to user process
2022-12-05 20:48:35,721 INFO    MainThread:2108 [wandb_init.py:_pause_backend():389] pausing backend
2022-12-05 20:48:35,721 INFO    MainThread:2108 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2022-12-05 20:48:48,260 INFO    MainThread:2108 [wandb_init.py:_resume_backend():398] resuming backend
2022-12-05 20:48:48,261 INFO    MainThread:2108 [wandb_init.py:_pause_backend():389] pausing backend
2022-12-05 20:48:48,261 INFO    MainThread:2108 [jupyter.py:save_ipynb():378] not saving jupyter notebook
